census_block_group,1,2,3,4,5,6,7,total_pop
510594511002,69,168,38,46,45,9,25,1262
510594512001,21,149,20,81,14,0,15,928
510594512002,57,140,74,39,17,0,0,828
510594513001,47,140,78,87,19,15,0,1140
510594513002,118,186,94,76,42,0,0,1337
510594514001,331,149,138,86,42,74,0,2250
510594514002,242,46,49,54,31,0,0,934
510594515011,302,142,26,14,113,55,0,1657
510594515012,14,79,5,60,22,0,0,640
510594515013,510,263,87,31,0,0,0,1461
510594515014,209,149,124,30,26,0,26,1600
510594515021,199,247,131,48,47,10,0,1694
510594515022,519,260,204,170,43,80,39,3742
510594516011,92,166,58,165,16,56,54,2420
510594516012,0,68,101,31,32,28,0,982
510594516013,49,0,24,27,28,51,30,1031
510594516014,31,46,42,139,110,28,0,1747
510594516021,51,60,36,34,20,7,16,752
510594516022,286,205,200,63,16,30,12,1972
510594518001,108,105,94,51,70,14,8,1448
510594518002,105,226,86,95,45,76,37,2329
510594519001,101,117,50,73,10,20,14,1138
510594519002,414,326,213,30,75,49,0,2681
510594519003,31,51,155,80,29,0,0,1161
510594520001,313,303,301,140,25,13,13,2811
510594521011,51,223,90,24,18,0,10,1082
510594521012,64,204,103,106,109,6,49,2373
510594521013,103,136,113,67,33,69,35,2063
510594521021,277,226,230,242,132,0,18,3647
510594522001,108,171,123,213,59,69,11,2640
510594522002,163,165,75,94,27,50,38,1931
510594522003,61,107,36,46,0,53,6,982
510594522004,64,100,41,151,32,23,7,1509
510594523011,433,283,147,175,25,33,0,2690
510594523012,85,169,37,64,0,5,0,878
510594523021,124,194,136,236,87,29,30,2996
510594523022,226,236,81,131,33,19,0,1880
510594524001,54,133,147,44,30,0,65,1706
510594524002,60,140,31,22,27,0,25,877
510594524003,16,125,87,22,0,38,0,949
510594524004,146,155,98,80,148,38,0,2261
510594524005,104,86,66,169,16,0,9,1404
510594525011,45,55,55,62,35,18,0,948
510594525012,181,182,96,87,42,17,19,1708
510594525013,71,115,21,120,17,0,22,1246
510594525021,19,42,47,55,22,0,7,695
