census_block_group,1,2,3,4,5,6,7
510594516011,9,16,5,16,2,5,5
510594516012,0,6,10,3,3,3,0
510594516013,5,0,2,3,3,5,3
510594516014,3,4,4,13,10,3,0
510594516021,5,6,3,3,2,1,2
510594516022,27,19,19,6,2,3,1
510594518001,10,10,9,5,7,1,1
510594518002,10,21,8,9,4,7,3
510594519001,10,11,5,7,1,2,1
510594519002,39,31,20,3,7,5,0
510594519003,3,5,15,8,3,0,0
510594520001,30,29,28,13,2,1,1
510594521011,5,21,9,2,2,0,1
510594521012,6,19,10,10,10,1,5
510594521013,10,13,11,6,3,7,3
510594521021,26,21,22,23,12,0,2
510594522001,10,16,12,20,6,7,1
510594522002,15,16,7,9,3,5,4
510594522003,6,10,3,4,0,5,1
510594522004,6,9,4,14,3,2,1
510594523011,41,27,14,17,2,3,0
510594523012,8,16,3,6,0,0,0
510594523021,12,18,13,22,8,3,3
510594523022,21,22,8,12,3,2,0
510594524001,5,13,14,4,3,0,6
510594524002,6,13,3,2,3,0,2
510594524003,2,12,8,2,0,4,0
510594524004,14,15,9,8,14,4,0
510594524005,10,8,6,16,2,0,1
510594525011,4,5,5,6,3,1,0
510594525012,17,17,9,8,4,2,2
510594525013,7,11,2,11,2,0,2
510594525021,2,4,4,5,2,0,1
510594525022,7,14,8,15,13,1,3
510594525023,6,9,19,13,16,4,2
510594526001,31,32,20,5,15,18,3
510594526002,22,38,5,13,5,0,0
510594526003,17,13,3,5,3,0,5
510594527001,15,17,15,8,9,5,0
510594527002,21,15,24,12,7,3,1
510594527003,14,8,4,2,1,0,0
510594528011,3,12,13,0,2,0,0
510594528012,41,27,4,10,6,7,5
510594528013,20,10,10,5,0,0,0
510594528014,45,8,2,0,0,0,0
510594528021,32,20,7,0,7,0,0
510594528022,46,24,6,4,2,0,0
510594601001,4,13,7,12,1,1,1
510594601002,4,21,11,17,2,1,1
510594601003,2,10,10,10,3,2,1
510594602001,1,21,19,16,4,0,0
510594602002,3,23,10,14,8,3,0
510594603001,3,6,4,5,2,1,0
510594603002,7,27,11,19,4,2,0
510594604001,3,21,11,12,4,1,1
510594604002,28,20,11,12,5,3,0
510594604003,17,15,6,2,3,0,0
510594605011,11,22,17,20,7,3,2
510594605021,38,44,27,17,12,1,0
510594605022,7,15,11,17,8,0,1
510594605023,10,15,10,9,6,2,0
510594606001,4,16,18,10,2,1,3
510594606002,8,25,15,21,3,0,0
510594607011,4,16,10,8,3,0,0
510594607012,14,14,17,20,2,2,0
510594607021,3,10,8,8,6,0,1
510594607022,8,23,13,9,5,2,0
510594607023,10,9,12,9,5,0,0
510594608001,5,9,3,10,2,2,1
510594608002,10,31,21,8,6,1,0
510594609001,13,25,14,19,7,2,1
510594610001,15,25,16,20,6,1,1
510594611001,6,19,14,14,8,0,0
510594611002,28,20,13,13,4,6,0
510594611003,18,35,12,23,14,3,0
510594612011,5,26,12,11,4,3,2
510594612012,4,26,7,14,4,1,0
510594612013,4,10,5,4,1,0,1
510594612021,24,11,4,8,1,0,0
510594612022,51,30,17,13,5,0,0
510594612023,14,17,10,16,6,5,0
510594615001,20,14,5,5,0,0,0
510594615002,1,12,6,7,0,0,0
510594615003,13,13,5,11,17,0,0
510594615004,8,26,16,8,1,2,0
510594615005,4,10,2,9,4,1,0
510594616011,7,16,6,4,1,2,2
510594616012,33,33,14,5,0,0,0
510594616013,22,22,27,16,6,2,0
510594616014,14,14,5,3,1,0,2
510594616021,57,48,6,2,0,0,0
510594616022,11,17,6,0,5,0,0
510594616023,13,27,19,12,0,0,0
510594617001,17,20,31,10,10,0,0
510594617002,18,24,21,11,4,0,2
510594617003,8,10,8,11,4,7,3
510594618011,20,15,10,6,2,2,1
510594618021,26,30,24,11,5,0,0
510594618022,30,15,11,16,1,0,0
510594618023,21,26,0,11,2,0,0
510594619011,9,10,8,13,5,9,0
510594619012,18,28,8,14,2,1,0
510594619021,7,16,14,10,4,0,3
510594701001,3,10,3,8,2,1,0
510594701002,7,26,8,11,7,2,0
510594703001,8,34,14,13,4,0,2
510594703002,4,7,8,8,1,1,0
510594704001,13,16,4,8,2,1,0
510594704002,2,19,4,7,2,2,0
510594704003,5,3,4,5,5,0,0
510594704004,5,17,9,8,7,3,1
510594705001,4,10,8,6,4,1,0
510594705002,14,20,19,15,2,3,2
510594705003,3,14,10,7,2,0,0
510594705004,31,12,7,1,3,0,2
510594706001,4,16,4,12,0,1,0
510594706002,22,24,10,7,2,1,0
510594707001,9,11,7,4,5,1,0
510594707002,2,14,9,10,5,0,0
510594707003,4,9,7,5,3,0,0
510594707004,5,15,7,7,3,1,0
510594707005,5,7,6,7,5,2,0
510594708001,4,8,6,8,1,1,0
510594708002,14,20,17,21,4,0,0
510594709001,19,14,9,18,2,2,0
510594709002,11,16,3,20,4,1,2
510594709003,7,18,8,4,2,0,0
510594709004,18,19,4,7,2,1,0
510594709005,8,14,3,10,2,0,1
510594710001,25,26,11,10,7,0,0
510594711001,13,25,7,8,5,0,0
510594711002,3,15,2,8,7,1,0
510594711003,3,10,10,2,4,1,0
510594711004,7,12,12,12,2,2,0
510594711005,13,11,4,9,5,2,0
510594712011,50,22,11,7,5,1,0
510594712012,13,9,2,1,0,0,0
510594712013,10,17,12,3,2,0,0
510594712021,40,33,5,4,2,0,0
510594712022,19,26,14,8,6,1,4
510594712023,22,14,3,6,4,0,0
510594713011,20,20,15,14,5,0,3
510594713012,15,31,14,10,1,0,2
510594713031,7,5,8,3,1,2,0
510594713032,31,24,5,4,0,2,0
510594713033,25,21,12,12,2,5,0
510594713041,11,19,17,12,3,2,0
510594714011,4,19,8,8,1,1,1
510594714012,19,22,20,21,4,0,2
510594714021,6,20,17,6,7,1,1
510594714022,11,11,13,9,8,0,1
510594801001,2,16,6,10,4,2,1
510594801002,3,21,8,7,6,1,0
510594801003,5,13,4,6,0,0,0
510594801004,3,6,3,5,0,0,1
510594802011,3,24,9,6,1,1,0
510594802012,2,15,12,13,10,0,0
510594802013,3,24,7,5,4,3,0
510594802021,96,34,12,15,1,0,0
510594802022,20,34,6,4,0,0,0
510594802031,32,34,16,10,3,1,0
510594803001,4,38,21,9,9,4,7
510594803002,2,6,2,10,7,0,0
510594803003,4,36,16,21,14,10,0
510594804011,5,14,14,7,7,1,1
510594804012,6,34,16,15,10,2,0
510594804021,5,25,13,25,9,3,0
510594804022,7,28,16,12,9,1,1
510594804023,1,17,4,6,3,1,0
510594805011,1,7,7,8,1,2,0
510594805012,3,9,6,10,7,1,0
510594805013,4,11,6,8,6,0,0
510594805021,11,25,22,20,5,5,3
510594805022,1,12,8,4,0,0,0
510594805023,12,26,8,9,6,2,1
510594805031,9,12,9,9,5,0,1
510594805032,12,28,9,15,3,1,1
510594805041,26,23,12,12,4,2,0
510594805051,32,21,5,3,1,0,0
510594805052,18,12,8,6,2,0,0
510594805053,15,9,6,6,0,0,0
510594808011,13,6,8,11,4,2,0
510594808012,22,26,9,10,10,5,0
510594808013,4,3,4,9,4,2,4
510594808021,24,6,8,3,0,0,0
510594808022,11,18,4,17,6,1,1
510594808023,2,10,4,8,1,1,0
510594809011,12,9,10,4,1,0,0
510594809012,2,15,3,12,12,7,6
510594809013,8,9,9,12,11,8,1
510594809014,2,14,6,4,0,0,0
